title,imgpath,salesprice
"Apple iPhone 13 (128 GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/e329f789-804e-412e-b090-ee8998b14fd621170553.jpg,62900
"Apple iPhone 13 (128 GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/1ed5895d-b2c4-4056-a482-41b1a7e45f5221170555.jpg,62900
"Apple iPhone 14 (128 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/cba3931e-2326-43e2-88ce-296d45a6632e22081150.jpg,71900
"Apple iPhone 13 (128 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/dd6cabec-a0f9-4b30-89fc-9a2ee48301f622111157.jpg,62900
"Apple iPhone 14 Pro (128 GB Storage, Space Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/4a7c5b91-2fc2-4d37-9b19-c6b2ca87fa4922081155.jpg,129400
"Apple iPhone 14 (128 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/b04293a0-6618-4d0c-8011-518237ae2fae22081222.jpg,71900
"Open Box (Demo Unit) Apple iPhone 12 (64 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/61b46b57-002a-4620-baaa-e3f624eaea1e22241350.jpg,53800
"Apple iPhone 13 (128 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/5e29626d-e78a-4b90-a623-eb53ae31c4ab21170552.jpg,62900
"Apple iPhone 13 (128 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/3649c0cc-3151-4501-b5b4-66adad7962d621170554.jpg,62900
"Apple iPhone 12 (128 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/aeb59c96-ff3c-43e5-be94-254c2abde80a.jpg,57800
"Apple iPhone 14 Plus (128 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/dfd944a0-6c5b-4cfc-a51a-7233352c9e5a22090602.jpg,81700
"Apple iPhone 14 Pro (256 GB, Deep Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/d743f8ba-0132-4387-9672-1a76802d813222090547.jpg,138900
"Apple iPhone 14 (128 GB, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/e9bd9fa2-fcdf-445d-8d73-4b723a4fffd922081212.jpg,71900
"Apple iPhone 14 (128 GB, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/e41cc14e-ef76-485a-a0f4-e67bb80ef50222081201.jpg,71900
