country,cases,death,revovery
Singapore,"2,481,404","1,727","2,149,583"
New Zealand,"2,405,595","4,477","2,394,005"
Iraq,"2,465,545","25,375","2,439,497"
Romania,"3,406,899","68,224","3,252,104"
Hungary,"2,203,082","48,879","2,152,155"
"China, Hong Kong SAR","2,909,483","13,819","2,872,188"
Sweden,"2,711,671","24,489","2,673,923"
Denmark,"3,182,165","8,743","3,172,062"
Serbia,"2,543,185","18,057","2,523,264"
Bangladesh,"2,040,681","29,452","1,998,448"
Peru,"4,507,896","220,695","4,259,024"
Tokelau,5,0,0
Switzerland,"4,406,609","14,452","4,378,012"
Western Sahara,10,1,9
South Africa,"4,076,463","102,595","3,912,506"
Canada,"4,684,456","52,751","3,927,670"
Holy See,29,0,29
Philippines,"4,159,310","66,482","4,083,967"
Montserrat,"1,403",8,"1,376"
Falkland Islands,"1,930",0,"1,881"
Saint Helena,"2,166",0,2
Czechia,"4,642,538","42,807","4,599,391"
Tuvalu,"2,911",0,0
Saint Pierre and Miquelon,"3,452",2,"2,449"
Wallis and Futuna Islands,"3,550",8,438
Niue,820,0,818
Anguilla,"3,904",12,"3,879"
Kiribati,"5,037",24,"2,703"
Nauru,"5,393",1,"5,347"
Saint Barthélemy,"5,494",6,N/A
Palau,"6,015",9,"6,004"
Cook Islands,"7,142",2,"7,138"
British Virgin Islands,"7,305",64,N/A
Sao Tome and Principe,"6,587",80,"6,507"
Turks and Caicos Islands,"6,588",38,"6,529"
Saint Kitts and Nevis,"6,606",48,"6,554"
Sierra Leone,"7,762",126,N/A
Chad,"7,701",194,"4,874"
Liberia,"8,090",295,"7,783"
Antigua and Barbuda,"9,106",146,"8,954"
Comoros,"9,109",161,"8,939"
Guinea-Bissau,"9,614",177,"8,929"
Saint Vincent and the Grenadines,"9,631",124,"9,493"
Niger,"9,931",312,"8,890"
Eritrea,"10,189",103,"10,086"
"China, Macao SAR","10,615",123,"3,487"
Sint Maarten,"11,051",92,"10,905"
Caribbean Netherlands,"11,682",38,"10,476"
Saint Martin,"12,303",63,"1,399"
Greenland,"11,971",21,"2,761"
Yemen,"11,945","2,159","9,124"
Vanuatu,"12,019",14,"11,976"
Gambia,"12,626",372,"12,189"
Central African Republic,"15,368",113,"15,200"
Djibouti,"15,690",189,"15,427"
Marshall Islands,"16,098",17,"16,079"
Dominica,"15,760",74,"15,673"
Samoa,"16,763",31,"1,605"
Monaco,"16,814",67,"15,992"
Tonga,"16,817",13,"15,638"
Equatorial Guinea,"17,229",183,"16,907"
South Sudan,"18,368",138,"18,115"
Bermuda,"18,860",165,"18,685"
Grenada,"19,693",238,"19,358"
Tajikistan,"17,786",125,"17,264"
Nicaragua,"18,491",225,"4,225"
Gibraltar,"20,550",113,"16,579"
Burkina Faso,"22,056",396,"21,596"
Liechtenstein,"21,446",94,"21,352"
Timor-Leste,"23,456",138,"23,102"
Solomon Islands,"24,575",153,N/A
Congo,"25,375",386,"24,006"
Micronesia,"26,459",65,N/A
Saint Lucia,"30,052",409,"29,095"
Benin,"28,014",163,"27,847"
Cayman Islands,"31,472",37,"8,553"
Somalia,"27,334","1,361","13,182"
Mali,"33,151",743,"32,331"
Faeroe Islands,"34,658",28,N/A
Haiti,"34,301",860,"33,368"
Bahamas,"38,084",844,"36,366"
Lesotho,"34,790",723,"25,980"
Isle of Man,"38,008",116,N/A
Guinea,"38,563",468,"37,757"
Togo,"39,503",290,"39,210"
San Marino,"24,319",125,"24,189"
Mauritius,"42,642","1,051","40,904"
Mayotte,"42,027",188,N/A
Tanzania,"43,078",846,N/A
Aruba,"44,200",236,"42,438"
Papua New Guinea,"46,864",670,"43,982"
Gabon,"48,992",307,"48,674"
Andorra,"48,015",165,"47,563"
Seychelles,"50,937",172,"50,750"
Burundi,"53,954",38,"53,569"
Syria,"57,652","3,165","54,487"
Bhutan,"62,672",21,"61,564"
Cabo Verde,"64,030",414,"63,519"
Mauritania,"63,715",997,"62,471"
Sudan,"63,993","5,046","57,174"
Fiji,"69,072",885,"67,154"
Madagascar,"68,289","1,425","66,862"
