country,cases,death,revovery
Hungary,"2,203,082","48,879","2,152,155"
Iraq,"2,465,545","25,375","2,439,497"
Bangladesh,"2,040,681","29,452","1,998,448"
New Zealand,"2,405,595","4,477","2,394,005"
Serbia,"2,543,185","18,057","2,523,264"
Denmark,"3,182,165","8,743","3,172,062"
Sweden,"2,711,671","24,489","2,673,923"
Singapore,"2,481,404","1,727","2,149,583"
South Africa,"4,076,463","102,595","3,912,506"
"China, Hong Kong SAR","2,909,483","13,819","2,872,188"
Romania,"3,406,899","68,224","3,252,104"
Philippines,"4,159,310","66,482","4,083,967"
Switzerland,"4,406,609","14,452","4,378,012"
Czechia,"4,642,538","42,807","4,599,391"
Peru,"4,507,896","220,695","4,259,024"
Canada,"4,684,456","52,751","3,927,670"
Malaysia,"5,112,019","37,118","5,057,145"
North Korea,"4,772,813",74,"4,772,739"
Israel,"4,827,640","12,552","4,798,473"
Ukraine,"5,557,995","112,418","4,904,953"
Thailand,"4,749,910","34,292","4,692,636"
Belgium,"4,800,759","34,364","4,462,999"
Chile,"5,288,075","64,497","5,223,494"
Portugal,"5,590,870","26,824","4,237,853"
Poland,"6,517,599","119,623","5,335,940"
Austria,"6,080,088","22,523","6,053,532"
Greece,"6,095,350","37,052","4,389,584"
Colombia,"6,369,916","142,780","6,190,683"
Indonesia,"6,811,201","161,844","6,639,751"
Mexico,"7,630,448","334,276","6,882,799"
Iran,"7,612,352","146,291","7,368,396"
Argentina,"10,056,300","130,514","9,064,882"
Spain,"13,905,048","121,622","13,740,203"
Netherlands,"8,610,372","22,992","8,445,834"
Taiwan,"10,239,998","19,005","10,075,840"
Vietnam,"11,619,451","43,206","10,639,819"
Australia,"11,672,767","21,463","11,609,163"
Russia,"22,949,243","399,339","22,389,297"
Turkey,"17,232,066","102,174",N/A
United Kingdom,"24,618,436","226,278","22,954,691"
Brazil,"37,639,324","703,399","36,249,161"
Italy,"25,887,444","190,706","25,580,707"
Germany,"38,428,685","174,352","38,240,600"
Japan,"33,803,572","74,694",N/A
South Korea,"32,018,486","34,960","17,120,321"
France,"40,124,889","167,548","15,867,601"
India,"44,993,579","531,897","44,459,838"
United States,"107,246,335","1,167,381","105,380,329"
Niue,820,0,818
Tokelau,5,0,0
Holy See,29,0,29
Kuwait,"665,955","2,570","660,237"
Falkland Islands,"1,930",0,"1,881"
Sri Lanka,"672,528","16,877","655,647"
Western Sahara,10,1,9
Montserrat,"1,403",8,"1,376"
Saint Helena,"2,166",0,2
Nauru,"5,393",1,"5,347"
Tuvalu,"2,911",0,0
Anguilla,"3,904",12,"3,879"
Saint Pierre and Miquelon,"3,452",2,"2,449"
Saint Barthélemy,"5,494",6,N/A
Kiribati,"5,037",24,"2,703"
Wallis and Futuna Islands,"3,550",8,438
Palau,"6,015",9,"6,004"
British Virgin Islands,"7,305",64,N/A
Cook Islands,"7,142",2,"7,138"
Sao Tome and Principe,"6,587",80,"6,507"
Saint Kitts and Nevis,"6,606",48,"6,554"
Sierra Leone,"7,762",126,N/A
Chad,"7,701",194,"4,874"
Turks and Caicos Islands,"6,588",38,"6,529"
Liberia,"8,090",295,"7,783"
Antigua and Barbuda,"9,106",146,"8,954"
Comoros,"9,109",161,"8,939"
Saint Vincent and the Grenadines,"9,631",124,"9,493"
Niger,"9,931",312,"8,890"
Eritrea,"10,189",103,"10,086"
Guinea-Bissau,"9,614",177,"8,929"
Sint Maarten,"11,051",92,"10,905"
"China, Macao SAR","10,615",123,"3,487"
Caribbean Netherlands,"11,682",38,"10,476"
Vanuatu,"12,019",14,"11,976"
Yemen,"11,945","2,159","9,124"
Greenland,"11,971",21,"2,761"
Central African Republic,"15,368",113,"15,200"
Saint Martin,"12,303",63,"1,399"
Gambia,"12,626",372,"12,189"
Djibouti,"15,690",189,"15,427"
Dominica,"15,760",74,"15,673"
Marshall Islands,"16,098",17,"16,079"
